case_number,file_date,status,type_desc,sub_type,style,deceased_name,parties,events,scraped_address
FRCL-2025-3334,2025-05-01,2025-06-03,,,,,,,"LOT 3, BLOCK | OF PARK VILLAS IN RICE MILITARY SUBDIVISION, A"
FRCL-2025-3350,2025-05-01,2025-06-03,,,,,,,"LOT 4, IN BLOCK 12, OF SEQUOIA ESTA’"
FRCL-2025-3666,2025-05-12,2025-06-03,,,,,,,"LOT 16, BLOCK 1, OF CONCORD BRIDGE NORTH, SECTION 3, A SUBDIVISION IN HARRIS"
FRCL-2025-3700,2025-05-12,2025-06-03,,,,,,,"That property in Harris County, Texas commonly known as 17034 Glenledi Drive,"
FRCL-2025-3411,2025-05-01,2025-07-01,,,,,,,SEE EXHIBIT “A* ATTACHED HERETO AND INCORPORATED HEREIN FOR ALL PURPOSES
FRCL-2025-3507,2025-05-08,2025-06-03,,,,,,,contained in
FRCL-2025-3532,2025-05-08,2025-07-01,,,,,,,of Property to be Sold:
FRCL-2025-3535,2025-05-08,2025-07-01,,,,,,,as per the Deed of Trust:
FRCL-2025-3611,2025-05-12,2025-07-01,,,,,,,"A FIELD NOTE DESCRIPTION TRACT OF LAND LOCATED IN HARRIS COUNTY, TEXAS,"
FRCL-2025-3668,2025-05-12,2025-06-03,,,,,,,"provements, and personal property"
FRCL-2025-3673,2025-05-12,2025-06-03,,,,,,,Substitute Trustee:
