case_number,file_date,status,type_desc,sub_type,style,deceased_name,parties,events,scraped_address
FRCL-2025-3338,2025-05-01,2025-06-03,,,,,,,"LOT 36, IN BLOCK 1, OF MALLARD CR OR PLAT THEREOF, RECORDED UNDER FILM CODE NO."
FRCL-2025-3339,2025-05-01,2025-07-01,,,,,,,"LOT 1, BLOCK 6."
FRCL-2025-3340,2025-05-01,2025-07-01,,,,,,,"LOT 7, IN BLOCK 2, OF’ TO THE MAP OR PLAT THEREOF RECORDED IN UNDER F."
FRCL-2025-3341,2025-05-01,2025-07-01,,,,,,,"LOT 8 IN BLOCK 20, SCARSDALE SI PLAT THEREOF RECORDED IN VOLUME 188, PAGE NQ."
FRCL-2025-3345,2025-05-01,2025-06-03,,,,,,,"0001 5318 LACREEK LN, SPRING, TX 77379"
FRCL-2025-3350,2025-05-01,2025-06-03,,,,,,,"LOT 4, IN BLOCK 12, OF SEQUOIA COUNTY, TEXAS, ACCORDING TO"" PAGE 40 OF THE MAP RECORDS OF TENESHIA HUDSPETH, COUNTY CLERK, HARRIS COUNTY, TEXAS 025-3350."
FRCL-2025-3352,2025-05-01,2025-06-03,,,,,,,"LOT 18, IN BLOCK 6 OF N} HARRIS COUNTY, TEXAS ACCORDIN' T VOLUME 220, PAGE 76 OF THE MAP REC SO SALE INFC _ DATE OF SALE: 06/03/2025 EARLIEST ."
FRCL-2025-3360,2025-05-01,2025-07-01,,,,,,,"LOT 2, BLOCK 6."
FRCL-2025-3364,2025-05-01,2025-07-01,,,,,,,"LOT 7, IN BLOCK 1, OF CORREC ADDITION IN."
FRCL-2025-3368,2025-05-01,2025-07-01,,,,,,,"LOT 37, BLOCK 1, OF FAIRFIELD VILLAGE SOUTH SEC PLAT THEREOF FILED UNDER CLERK'S FILE NO."
FRCL-2025-3377,2025-05-01,2025-06-03,,,,,,,"LOT 11 BLOCK 7, SUBDIVISION IN HARRIS COUNTY, 1 IN VOLUME 257, PAGE 86 OF THE MA POME AO, “$226 A."
FRCL-2025-3378,2025-05-01,2025-06-03,,,,,,,"LOT 4, BLOCK 8."
FRCL-2025-3379,2025-05-01,2025-06-03,,,,,,,"LOT 47, BLOCK 1."
FRCL-2025-3380,2025-05-01,2025-06-03,,,,,,,"LOT 3, BLOCK 1."
FRCL-2025-3381,2025-05-01,2025-06-03,,,,,,,"LOT 6, BLOCK 3."
FRCL-2025-3393,2025-05-01,2025-07-01,,,,,,,"LOT 27, BLOCK COUNTY."
