case_number,file_date,status,type_desc,sub_type,style,deceased_name,parties,events,scraped_address
FRCL-2025-3330,2025-05-01,2025-07-01,,,,,,,"IED EN THIS NOTICE OF SALE, THE PERSON SIGNING THIS NOTICE

ATTORNEY OR AUTHORIZED AGENT OF THE MORTGAGEE OR
AGE SERVICER. \ :"
FRCL-2025-3342,2025-05-01,2025-06-03,,,,,,,"Lot 726, Block 26, Home Owned Estates Section Two, a Subdivision in Harris
County, Texas, according to the Map or Plat thereof recorded.in Volume 30,
age 27 of the Map and/or Plat Records of Harris County, Texas."
FRCL-2025-3331,2025-05-01,2025-06-03,,,,,,,"{O35
ENTY (20), BLOCK FIVE (5) WASHINGTON TERRACE, RECORDED IN VOLUME 557, PAGE 68, OF THE DEED RECORDS

» Cops 51.0076 and the Deed of Trust a the didersigncd ws atomey for Mortzugee or Mortgage Servicer does her"
FRCL-2025-3332,2025-05-01,2025-06-03,,,,,,,"N 31.002 OF Tih TEAAS ERUPSNS XS CODE,

yee eee oe ee

DESCRIPTION ATTACHED AS EXHIBIT A

Rpm bere TURE ee obi Pal cs Teak exdicmamad ahaa. Ue wanda tect oe aldara Gur bBastenean ar Dhncianen Services Anes fers"
FRCL-2025-3334,2025-05-01,2025-06-03,,,,,,,"SEUIION 31.002 OF is BAAS TNUSEN ST LUE,

SLOCK | OF PARK VILLAS IN RICE MILITARY SUBDIVISION, A SUBDIVISION IN HARRIS COUNTY, TEXAS ACCORDI
IN FILM CODE NO. 638145 OF THE MAP RECORDS OF HARRIS COUNTY, TEXAS."
FRCL-2025-3335,2025-05-01,2025-06-03,,,,,,,"LOUNTY COMMISSIONER'S OFFICE OR UN Lib ARGA DESIGNS
N 51.002 OF THE TEXAS PROPERTY CODE.

WENTY~ TWO (22), IN} BLOCK ONE Q), OF AURORA, SECTION TWO (2)

ee ee wre hs RAI ot nme Aee Pumrreit © o A"
FRCL-2025-3336,2025-05-01,2025-06-03,,,,,,,"BLOCK 11, NORTHVIEW WEST, SECTION 2, A SUBDIVISION IN HARRIS COUNTY, TEXAS, ACCORDING TO THE MAP |
D IN VOLUME 327, PAGE 1, OF THE MAP RECORDS OF HARRIS COUNTY, TEXAS.

>», CODE 351.0076 ard the Deed of Trust referenced above, the undersigned us attomey for Mortgagec or Mortgage acted

wd all easceceor duketiite terefene and avwiate in thir etead Potrizin Pastan David Patan Nick Pocten Chric"
FRCL-2025-3338,2025-05-01,2025-06-03,,,,,,,"SECTION 51,002 OF Thik ILAAS PROPERTY CODE,

IN BLOCK 1, OF MALLARD CROSSING SEC. 1, A SUBDIVISION IN HARRIS COUNTY, TEXAS, ACCORDING TO THE M
RDED UNDER FILM CODE NO, 598162 OF THE MAP RECORDS OF HARRIS COUNTY, TEXAS,"
FRCL-2025-3339,2025-05-01,2025-07-01,,,,,,,"signated by the County Commissioners Court OR IN THE AREA DESIGNATED B EC
SECTION 51.002 OF THE TEXAS PROPERTY CODE."
FRCL-2025-3344,2025-05-01,2025-06-03,,,,,,,"Number RP-2022-188954 in the real property records of HARRIS County, Te:
which contains ’a power of sale. . 7"
FRCL-2025-3346,2025-05-01,2025-06-03,,,,,,,"dated January 14, 24 and recotuca under Ulerxs fue INO. Aad
ne real property records of Harris County Texas, with Paul Munoz
ntor(s) and acai Mortgage Company as Original Mortgagee.

OrGee Or LVUH BS
lunoz and Elsa M."
FRCL-2025-3347,2025-05-01,2025-06-03,,,,,,,"- Deed of Trust dated April 1, 2016 and recorded on April 5, 2016 as Instrument Number
RP-2016-139271 in the real property records of HARRIS County, Texas, which contains °
a power of, sale, Correction Instrument recorded September 16, 2016 as Instrument

AReecheaeew DD ANIL_AISOTS"
